category,project,InducingDate,BugFixing,FixingDates,InducingMessage
Assembly,lanl/qmasm,b5ff7903e9eb1c801327d2b6b7c25d711969e592,2020-07-29T00:01:55Z,e1650b7bbece2da2b6675ad6a8a29a9527504b33/6125bf648f2dc68da2b3a88407d4e848d76b5ad4/,2020-07-30 16:15:10-06:00/2020-07-30 15:17:06-06:00/,Make the generated Ocean code display results QMASM-style
Assembly,lanl/qmasm,eb0b4037d6c744adef59fac1d3edc3b78be3a008,2016-08-23T19:29:23Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/6d8bb38bfc6845422a2ab115cce7ecf4d78a6de5/,2020-06-03 14:20:44-06:00/2016-10-18 10:34:43-06:00/,added proxy param to  RemoteConnection
Assembly,lanl/qmasm,80fa70ae36e3c697ccee65bd0fba40aac638384f,2019-12-23T20:21:52Z,803d301abedae259bd34466a669e0f76944b750b/59449daa13d9b5a29e2f18ca3834bdc464f1188c/,2020-03-12 16:08:03-06:00/2019-12-23 14:30:40-07:00/,:bug: Correctly handle dangling pinned variables
Assembly,lanl/qmasm,cae464a3a19e6226ce8f797c0b3a57f95c5f521a,2016-11-11T23:36:14Z,3d8f4dcfba9255e61e41c97a6569b4bf7e7697b6/,2017-06-22 15:20:00-06:00/,Increased the version number from 1.1 to 1.2
Assembly,lanl/qmasm,062f963dded85b2f40eb0bad6f10829d03baf16c,2019-02-24T07:08:23Z,0c96642fe5709f2576416bc964e4a0e93bdf8dee/6c93bd8a90db0cb8091113681fd473d049ba86c7/f46e2879460ab11e29bc7e9b8c4421e6b47dbf1b/e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2019-02-24 00:42:44-07:00/2019-05-10 16:53:53-06:00/2019-02-24 00:33:03-07:00/2020-06-03 14:20:44-06:00/,Produce output even when all variables can be fixed
Assembly,lanl/qmasm,a59280e93d1442add5a48b2ebfb4b13de6d34843,2019-01-13T00:58:51Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,Move str2bool from top level to a method of class PinParser
Assembly,lanl/qmasm,43c5aa861ff0fec4e59825cb6ec54d674662cfb7,2019-01-21T01:52:13Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,Initial support for a !for ... !end_for construct
Assembly,lanl/qmasm,73f341fc0b8fcf4e6044eae6af3c9f89bf677e3f,2017-05-31T20:51:02Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,Threaded qmasm-ground-state to improve performance
Assembly,lanl/qmasm,43d37b32b2d2370c51b7489006d70e51b5e126dd,2016-08-22T15:30:54Z,b7e7a707b84a72ec622b7fd6c58a5d9237beef8a/b9a8669fbd48f2fa507d700246b350094be0578b/,2016-10-26 16:56:24-06:00/2017-05-28 00:03:07-06:00/,Describe the contents of the extras directory
Assembly,lanl/qmasm,6d8bb38bfc6845422a2ab115cce7ecf4d78a6de5,2016-10-18T16:34:43Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,:bug: Don't require a proxy for remote connections
Assembly,lanl/qmasm,db63fd9c239c3534c70ec29546ee76290fff8271,2017-05-05T23:50:25Z,d713dab380bc7d8ca14bf9db4172670b0f32c589/e55bc405a3f90b35c5a44b5ae945686a04f2f866/433720570fe34d49f9e656e37f60ca9d40860e8e/b769691bb24afd35e48cf371407f417b78fff1b9/,2017-05-17 11:08:02-06:00/2020-06-03 14:20:44-06:00/2017-07-02 18:39:35-06:00/2017-07-02 19:34:36-06:00/,"Make --anneal-time default to the solver's default_annealing_time

Previously, --anneal-time defaulted to an arbitrary 20us.  In this
revision, it uses the solver's default_annealing_time if defined.  If
not, it uses the first element of the solver's annealing_time_range
array, if defined.  If not, it uses 20us as a reasonable fallback."
Assembly,lanl/qmasm,2570435bacfa873b1a92a301b43314a99c9173bb,2019-02-07T06:56:31Z,c0d5deb7b625809b8b8310e63b4f0f3354a21460/e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2019-02-09 00:13:09-07:00/2020-06-03 14:20:44-06:00/,:bug: Correct the handling of parenthesized relations and expressions
Assembly,lanl/qmasm,50851d9fd958314b3b7c71d9366a649bc0b9db09,2016-12-20T18:11:04Z,73f341fc0b8fcf4e6044eae6af3c9f89bf677e3f/b057c38f43f0d1d3725decc64fe433b0bb0c2316/84b2cacb79fa64bb36ab999a733813ca6fd016c4/fa65a9b489faa2038dea364b5af6a5d144d7e710/0ebd51e774cfd1aa656c5b0ff425ae45178fd9c2/5b8b4564673a49193c7146c40f349dd2c9f0eef6/e55bc405a3f90b35c5a44b5ae945686a04f2f866/bcb88e81d7bc275bfb3f3caf6c73ff90a3c7ca1a/3df14bc70e791f86aea778a54d1c9893ec51c5ec/,2017-05-31 14:51:02-06:00/2017-02-23 09:20:21-07:00/2016-12-20 11:28:52-07:00/2019-06-17 17:22:03-06:00/2017-02-23 18:13:38-07:00/2018-03-14 21:55:31-06:00/2020-06-03 14:20:44-06:00/2016-12-23 17:45:37-07:00/2017-05-04 16:14:29-06:00/,Helper script for computing ground states
Assembly,lanl/qmasm,036323688539bb285b52e3ea7eb26811f4ba17a9,2019-01-28T04:24:38Z,8069e3fff1d9f014d3b16d3ed274ff5fbe707a72/,2019-02-20 21:42:58-07:00/,:bug: Add a colon and square brackets to toks_re
Assembly,lanl/qmasm,03821361d95dad2ca4fec6d87dbc945e5ec2723d,2017-03-17T22:28:09Z,9b09d248c66c6b75c39eba2a534dc9a5e743a726/9bb58a3d91a0467a5931d884b31b9dc30204eb18/3b2785a022967fde1afe2b3d803acee4ae64f6b4/adb3a7644b87d1509ddf59da8be454747d782dda/,2018-04-23 00:21:06-06:00/2017-03-20 14:43:45-06:00/2017-06-01 13:44:27-06:00/2018-04-06 00:00:35-06:00/,New --discard option to control whether bad answers are kept or discarded
Assembly,lanl/qmasm,b28f50600eceba74d59e43dc8e570e8ab4601626,2019-02-14T06:22:25Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,Improve performance when multiple assertions are specified but not output
Assembly,lanl/qmasm,587186ee496569df00b5e0731ce4954c53cbad6e,2019-02-23T08:14:25Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,Report that a classical solution can be found only if it wasn't already
Assembly,lanl/qmasm,eec86859c92fb7eb0dbe8a715a735d597ac42e84,2019-03-28T00:24:21Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/4dfd60cf41d6afe55e1138168ac01597d2ddfff5/,2020-06-03 14:20:44-06:00/2019-03-27 19:37:30-07:00/,"Extend symbol renaming to work with assertions

:bug: The code does not currently build feature_test.qmasm."
Assembly,lanl/qmasm,fad3b9795f1ea9ce99d374d9857eaf70880306ff,2020-05-28T19:55:00Z,e7a81a2792d734a656bf458cae9814e2f7ed4e6d/f2ecf156217eeae45ab942f1a134bcb32ea7f23b/34996cb3bfec9dec0414dce973d820c60af5eb64/9a6a2ed6daf39da78940256bf934623b551f60c4/,2020-05-29 18:55:37-06:00/2020-05-28 17:14:01-06:00/2020-05-29 14:54:52-06:00/2020-06-12 15:20:46-06:00/,Map each symbol to a Boolean value
Assembly,lanl/qmasm,0bfed7c0d07962417e7dc51420fdd576f81d3494,2016-12-23T20:21:27Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,"Minor change to the help message

Called the input a ""symbolic Hamiltonian"" rather than a ""symbolic
quantum machine instruction""."
Assembly,lanl/qmasm,9ee7cba1105c8f21522a9f014bc572de1786a9a2,2018-05-09T05:40:06Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,:bug: Assume num_occurrences == 1 if undefined (cf. ising-heuristic)
