,Unnamed: 0,median,median2,Topic_Num,Topic_Perc_Contrib,Topic_Name,Keywords,Text,lower_quartile,upper_quartile,lower_whisker,upper_whisker,Total
22,10,6.5,8749.454375,10,0.2733,Chemical Calculations,"input, calculation, read, energy, regtest, orbital, structure, atom, force, molecule, due, spin, charge, cell, density, restart, scf, core, moment, computation","changes in the available mixing procedures, as used in QS calculations together with diagonalization A new section DFT%SCF%MIXING should be used to specify type of mixing and related the old keyword DFT%SCF%MIXING is no longer The available mixing procedures are at the moment the direct density-matrix mixing (default), the Kerker damping, the Pulay mixing, and the Broyden The latter three are performed in reciprocal space, therefore are applied only to the density already on the When OT is used, no mixing is Some regtest are added 8313",3,14.75,1,27,3127
21,16,7,4993.353017,16,0.3415,Configuration Interaction,"number, give, result, multiple, store, element, calculate, previously, thread, procedure, iteration, single, find, large, sign, select, weight, determinant, previous, column","CC death for reals on the same footing as In FCIQMC death occurs for particles which already exist and so it makes sense to do it In CCMC we select clusters of excitors, the combination of which may not yet exist and so death (at least for clusters of more than one excitor) is really a spawning This is compounded by (currently) calling death once per excip rather than once per excitor (which would be possible for the non-composite For clusters which we select a lot the reference and individual excitors which are highly occupied), this leads to a large number of entries in the spawned array each with a small weight, which is not ideal for Stochastically rounding this to the spawn cutoff, as is done for spawning in FCIQMC and CCMC, essentially solves this",2,18,1,40,2116
23,24,6,4610.42051,24,0.3549,Path Integral,"function, compute, integral, term, potential, hamiltonian, derivative, correction, functional, evaluate, gaussian, diagonal, evaluation, storage, convention, contraction, related, contribution, product, calculate","Two local minima could be found, depending sensitively on POWELL| Reached 53% of maximal function calls POWELL| Reached 54% of maximal function calls POWELL| Number of function evaluations 5407 POWELL| Final value of function Optimized local potential of approximated nonadditive kinetic energy functional 1 Gaussian polynomial expansion Coefficients 2 Gaussian polynomial expansion Coefficients 3 Gaussian polynomial expansion Coefficients POWELL| Reached 28% of maximal function calls POWELL| Number of function evaluations 2889 POWELL| Final value of function Optimized local potential of approximated nonadditive kinetic energy functional 1 Gaussian polynomial expansion Coefficients 2 Gaussian polynomial expansion Coefficients 3 Gaussian polynomial expansion Coefficients 16407",2,18,1,42,1832
20,22,8,4590.449306,22,0.4469,Message Passing,"extra, option, message, parallel, grid, info, generator, task, member, ability, group, point, require, couple, distribute, object, basis_set, cdfa, network, share","branch master of into excited_state Added function to round charges to match the net required Removed partial charge calculation when reading with rdkit which would some times cause valid files to Cleaned up openff parametrisation to use the rdkit_mol object and not Updated file reading in ligand, fixed corresponding Added param test for openFF and testing tests update Cleaned out examples to example Added genetic optimiser option to Fixed bug where the rdkit_mol in the ligand was removed when we failed to read a Rdkit class can now add conformers and calulate RMSD which is now an error in dihedral Fixed gaussian solvent bug where solvent was called for opt and frq Charemol parallel options added and exception openff can now do all elements using generics but with no dihedral timing recorded and rmsd error Si parameters added to lj radius not fit ligand and run clean Chargemol now ran in Added an extra improper case with nitrogen centers found in the coverage Openff splits improper force constants over all combinations of the torsion these are now grouped into one term at Dihedral scanner will now use the spacing and start and end points Improper fix in base_param method rdkit now uses the rdkit_mol to generate conformers to minimise file OpenFF has extra exception catches for missing atom Ligand now determines classes for bonds angles and dihedrals and groups even when order is dihedrals now fits symmetry equvilent torsions based on dihedral_types ligand configs changed, multipule scans now L-J parameter",3,15.5,1,29,1663
19,23,8,4542.373049,23,0.3537,Parameter Checks and Selection,"parameter, variable, state, issue, correct, order, check, space, correctly, set, save, branch_extra, branch_prerelease, cba, address, implement, unused, scale, properly, apply","draw method scale SamplePulse, Schedule (#3424) * Update Setting the `scale` parameter to a default from a default value of to a default value of 1 to prevent clipping of the returned * adjust and deprecate scaling parameter use scale instead Adjust scaling parameter in to ensure consistent zooming behaviour with function Deprecate scaling parameter in use scale * deprecate scaling parameter use scale instead Deprecate scaling parameter in use scale * Revert deprecate scaling parameter use scale instead"" This reverts commit * Revert adjust and deprecate scaling parameter use scale instead"" This reverts commit * Updates draw SamplePulse, Schedule Adjust scaling parameter in to ensure consistent zooming behaviour with function Deprecate scaling parameter in use scale Deprecate scaling parameter in use scale * Revert ""Update This reverts commit * Fix Lint Issues Fixes for Lint issues in previoius * Deprecation warning for staging parameter * Revert ""Fix Lint Issues"" This reverts commit * Further Lint Fixes * scaling parameter changed to scale * Typo Fix * Further Lint Fix * More Lint Fixes * Lint Fix * Fix omitted warnings import * Set scaling parameter to float Thomas Alexander * Set scaling parameter to float * Change `scale` to `scale_factor` && Cleaner zooming fix * Remove log import * Deprecate scaling in schedule and pulse drawers * Lint Fixes * Lint Fix * Lint Fix * More Lint Fixes * Set more general conditonal to call scaling deprecation warning * Use `scale` instead of `scale_factor` to deprecate the `scaling` keyword for visualizations * Lint Fix * Create * Set scaling parameter to None to prevent deprecation warning * Remove code redundancies in constructors and conditionals * Update Lauren Capelluto * Update Lauren Capelluto * Update Lauren Capelluto * Update Lauren Capelluto * Update Lauren Capelluto * Update Lauren Capelluto * Update Lauren Capelluto * Update Lauren Capelluto * Update Lauren Capelluto Thomas Alexander Lauren Capelluto Kevin Krsulich",3,21,1,43,2064
12,14,10,4518.612222,14,0.3588,Gates Decomposition,"default, set, support, matrix, flag, basis, full, reset, solver, initial, driver, decomposition, global, consistent, distribution, direct, setup, view, factor, addition","fixes for 320px displays (#134) * responsiveness changes * changed toolbox scaling to viewbox * reset with comment firebase * fixed encyclopedia views * uncommented fb config * making the game layout take up less vertical space * responsiveness changes * changed toolbox scaling to viewbox * making the game layout take up less vertical space * responsiveness changes v4 * fixed goals typo * reset with comment firebase * responsiveness changes * changed toolbox scaling to viewbox * fixed encyclopedia views * uncommented fb config * making the game layout take up less vertical space * additional responsiveness changes (#128) * responsiveness changes * changed toolbox scaling to viewbox * reset with comment firebase * fixed encyclopedia views * uncommented fb config * prettier lint autofix after PR 128 * Making the game layout take up less vertical space, plus encyclopedia article fixes for (#129) * responsiveness changes * changed toolbox scaling to viewbox * reset with comment firebase * fixed encyclopedia views * uncommented fb config * making the game layout take up less vertical space * style(LevelMapPage) * responsiveness changes * changed toolbox scaling to viewbox * yarn lint * making the game layout take up less vertical space * responsiveness changes v4 * fixed goals typo * uncommented firebase * making mobile adjustments for new ui elements * fixes for 320px",4,24,1,53,2344
11,13,11,4399.130833,13,0.3569,Arrays and Matrix Operations,"type, operator, array, index, complex, size, vector, real, pointer, definition, function, due, double, miss, constructor, return, correct, conversion, simple, reference",changes from d589639b4 put feature macro guard abd9cd3e8 add contructor that can take a the constructor for a type of memory d2a08b7f0 check for defined variable for c++ feature (memory resource) 777428b1d simplify operators tests 64e43820b use is_empty f0bc1b6b8 simplify blas operations f14bdfd7a update core command line 626d3dca1 make gemm use the new involuter c810caff3 make dot use the new involuter,3.75,24.5,1,51,2474
15,11,9,4207.456667,11,0.3121,Memory and Performance Optimization,"datum, print, write, routine, memory, avoid, information, point, gradient, performance, time, common, kernel, large, request, wavefunction, speed, problem, cc_cdfa, additional","interface update Added code to and to gather data from files that are generated from running Tinker This includes fixing the Tinker_xyz class to print all of the stderr and stdout to a single The file can still be printed out of order within a calculation analyze) but prints the correct calculation order (analyze section, minimization section, analyze section, hessian So far all of the data is printed Im worried that bigger systems may cause problems with printing, or systems that use parameters both in Tinkers standard params files and our Q2MM parameterized Regardless, the disorder in printing to the file introduces a problem when comparing the data with The order of interactions is never the same between the pre- and post-optimized An example is shown test_files]$ python "" Label Weight Value Score b_test2_1-2 b_test2_1-4 b_test2_1-5 b_test2_5-6 b_test2_5-7 b_test2_5-8 b_test2_1-3 Total data 7 test_files]$ python "" Label Weight Value Score b_test2_1-3 b_test2_5-6 b_test2_1-4 b_test2_1-5 b_test2_5-7 b_test2_5-8 b_test2_1-2 Total data 7 These two calculations where done From this point its going to be necessary to organize the compare information by the This will also solve our torsion problems that we have had in the Currently I have only added code for the following commands",3,20.5,1,37,2341
8,3,10.5,4176.129861,3,0.5519,Calibration & Visualization,"error, fix, check, bug, code, argument, unit, plot, channel, empty, pulse, car, merge, schedule, function, condition, convert, comment, embed, base","methods of half-up (#218) * fixed confusion in function description * translations from mathematica to python * work on those notimplementeds * decoder class adittion * modified decoder extractor implemented * no need for pauliaction function * introduction of symbolic binary class no more decoder class * minor bugs fixed, applies binary rules to input now * started programming the BinaryCode class, work in progress * added count qubit function in binary operator, modified * fixed morning brain bugs * implemented concatination and appending, not yet documented and debugged * added _shift function to symbolicBinary and integer modified the decoder shifter accordinly * radd imul, NOT TESTED just copy paste should * fixed small bugs, added default codes, created transform * fixed the multiplication error and modified the transform code following mathematica it was giving wrong operators before, now the operators are fine but signs are wonky * fixed the transform and all the places where we accidentally started to count labels from 1 instead of 0 * bug ordering matters to detect which terms should cancel * fixed code appending, introduced the integer multiplication (left+right) as a tool to append the same code intance several times * modified the multiply by 0 and 1 behavior in added tests for minor mods for python3 * fixed the condition for code concatenation, fixed a bug in checksum_code, added an error if qubit index in a code is out of bounds * added comments to binary_operator, more test, evaluate function * started writing documentations and clipping lines, writing out numpy * merging with the merger * updating binary operator based on comments * updating the binary_ops * updates based on comments * init update * moved binaryop to first import * added names into notice and readme * started documentation in added parity code and segment code binary addressing code * encoders are sparse matrices now * added tests for code_operator * doc strings for the transform, fixed bug in the initialization of SymbolicBinary, made changes suggested by review, carried some of them over to files to be pulled later * updates based on pull request comments * merging changes with merger * fixing possible integer checking errors * cleaned version of transform function, needs testing and timing seems to work so far * fixed BK indexing errors * added tests, pep8 and Ryan compliance mods * added some style to the functions file * renaming, re-structuring * renaming again * minor changes * pep8 * changed the symbolicBInary class * docstring cleanup * bug docstring fixes * bug fix in the evaluate method, pep8 the _binary_operator file * merge with upstream and additional tests to SymbolicBinary class * added weight-two segment code test, fixed bug with in the code appending by integer multiplication * added half-up code * bugs fixed in half-up code * corrected weight_one_segment_code and the interleaved_code, former Added tests for the * get rid of heads * reordering function for the fermionOperator takes * spin indexing within moleculardata * proper master reset",4,21,1,44,2391
13,12,9,4103.516308,12,0.483,Code Integration,"make, change, remove, code, work, clean, commit, interface, copy, separate, branch, header, command, check, internal, simplify, complete, avoid, part, include","commit of the commit d736dd4fdf19845e9fda64592b88d53f058bcb86 Vlad Gheorghiu Mon Sep 7 2020 commit 47727e6c5fb7bd4c2b50f42ad2aeb183acd4dd5c Vlad Gheorghiu Mon Sep 7 2020 Update commit 376fc7d29287f8c2775e6b92f123af075a41e654 Vlad Gheorghiu Mon Sep 7 2020 Update commit 4e73e974cb6ca4867e5dadaa4952873cbd53ef1c Vlad Gheorghiu Mon Sep 7 2020 Update commit 78fb07c2a627dec60da417ebf9e0d07267ecf863 Vlad Gheorghiu Mon Sep 7 2020 Update commit e8bf25f1050cb388b34f0e5623e34775846c3a26 Vlad Gheorghiu Mon Sep 7 2020 Update commit 0d12060d0cc904a6f801565b0e6786e11b06baa0 Vlad Gheorghiu Mon Sep 7 2020 Update commit 3b6343d463f007d5e95e3ccca390696ae1570a6f Vlad Gheorghiu Mon Sep 7 2020 Update commit f0fd50831d4c4e5e3ac4c7496d06a1bc1fab49c3 Vlad Gheorghiu Mon Sep 7 2020 CMake tweaks commit e8a946f077afc36f9b1113932ddebc0e769778e0 Vlad Gheorghiu Sun Sep 6 2020 commit 9b3960858ee4aff745144c14ef755d2f0ce3f097 Vlad Gheorghiu Fri Sep 4 2020 OpenMP flag commit a6c27ca760a6e305fefd0fac8acf5649479ab6ac Vlad Gheorghiu Fri Aug 28 2020 commit dbc57a93d6356042f958c1c2c3c0b9cf9a51d14d Vlad Gheorghiu Fri Aug 28 2020 c commit 5b0cf592f7113575834d4791d4acb33ddc2e76ae Vlad Gheorghiu Fri Aug 28 2020 Update commit aecc51cf1fc938d3876cdbfb243239602eeb5175 Vlad Gheorghiu Fri Aug 28 2020 switch to Bionic in Travis CI commit b5cc408c2f1ff31c9ad70fb113d6fa09e082e1b9 Vlad Gheorghiu Tue Aug 25 2020 commit 65db42855f0d41645be8d3a9309b62406cc773e9 Vlad Gheorghiu Sun Aug 23 2020 Update commit 66128e57895bb60ce80f77f0f2a1557690fc8924 Vlad Gheorghiu Fri Aug 21 2020 update commit 5c62ed2ad537177e6505ffa43bd0e9c02e6ccf71 Vlad Gheorghiu Fri Aug 21 2020 Update commit 766641c79fa79a5434e84ac4e7e7e7854b6d8979 Vlad Gheorghiu Fri Aug 21 2020 Update OpenBSD compat commit 08f2aaa006eda985e4172efab8ce14db40750dec Vlad Gheorghiu Fri Aug 21 2020 Update commit 2ef821c9957576f70d250402ed3a2f5d5a30499f Vlad Gheorghiu Fri Aug 21 2020 commit 9c51c9a1fe02df520e11810186ed6de5a92ed22a Vlad Gheorghiu Mon Aug 17 2020 Update commit 4259bb14cf46f200a8c187b9d0d2038e4383ac12 Vlad Gheorghiu Mon Aug 17 2020 Update commit f231bcea5923d5c0e8ce85a3002037faef3811e6 Vlad Gheorghiu Mon Aug 17 2020 clang-tidy commit 58d50c44cafd3010e132584f793ce5d5b9375006 Vlad Gheorghiu Mon Aug 17 2020 clang-tidy commit 7770eb31113f0ff8f8e773dd2e36458b6871adb0 Vlad Gheorghiu Mon Aug 17 2020 clang-tidy commit 231ec9f361f6d3086689eb0e27a31c1a14238e43 Vlad Gheorghiu Sat Aug 15 2020 Update commit 51ade7d8d5cb50f6bc6083e2b1b65cb11901f082 Vlad Gheorghiu Sat Aug 15 2020 clang-tidy commit 74dc9d24d007ed4193666b9bacf76b26ab2c54b4 Vlad Gheorghiu Fri Aug 14 2020 Update CHANGES commit c4572148196ad69cdd7abe41e1a62e2dd7aa61ce Vlad Gheorghiu Fri Aug 14 2020 refactoring commit 7e3fa11fe69e487e0eae8a8e93af38488349974c Vlad Gheorghiu Tue Aug 4 2020 Update commit e9bb0d9bc1214165d1d70bcbb99a08c820ed0e81 Vlad Gheorghiu Tue Aug 4 2020 Update fixing Solaris bug commit 1c1e98b1043766e5ea239c53c2dcf43b4755fd82 Vlad Gheorghiu Sun Jul 26 2020 Update commit c6d2592b1b976917417494d70ac51bc069fe9e32 Vlad Gheorghiu Sat Jul 25 2020 Update commit e71a47c76fd755ad750f1ffd31f97ff679c1dc48 Vlad Gheorghiu Sat Jul 25 2020 Update commit 0ed61bb5204a11d5d4529ce4f5970b305c93983c Vlad Gheorghiu Sat Jul 25 2020 commit 7b8283b8b18df703530466930621ceea4263390c Vlad Gheorghiu Sun Jul 19 2020 Revert ""Update This reverts commit d7429f7a7df22770bb118967e493be84f6636e70 Vlad Gheorghiu Sun Jul 19 2020 Update commit 575fbadb354c1ab8eb050cdad3b2554e800a8aad Vlad Gheorghiu Sun Jul 19 2020 Update commit b28bdbddcbf61bfcb25d8266b378a655c623c5db Vlad Gheorghiu Sun Jul 19 2020 Update commit 25e7a5ce9913090869e93b58ec264be18d86be66 Vlad Gheorghiu Sun Jul 19 2020 Update commit dbe4ab753a07545c97665b7048b9fb416052a296 Vlad Gheorghiu Sun Jul 19 2020 Update commit b940c8464e12ca01c918debc158e33249f0d71b9 Vlad Gheorghiu Tue Jun 30 2020 Update commit e314a907d267a415a79f610ed0249a6ca602f760 Vlad Gheorghiu Sun Jun 28 2020 Update commit d79c9a93e95113cd82277a5bb7a58338ef676c37 Vlad Gheorghiu Sat Jun 27 2020 commit 5d6fb1a1bf05dc4f8b595e1c28f370c243d52209 Vlad Gheorghiu Thu Jun 18 2020 Update commit ea2bb4ca0a9bfc9549ad23f7fb37a489679f29bb Vlad Gheorghiu Thu Jun 18 2020 Update commit 4400a8e71089a739fce9c581a1dd2b7e62c300d6 Vlad Gheorghiu Thu Jun 18 2020 commit 4e4120bfaad8e13dfae1c1fd526d804c18f898db Vlad Gheorghiu Thu Jun 18 2020 Update commit dfbd5179b24a48ad349f36d797e7372a460e192e Vlad Gheorghiu Thu Jun 18 2020 Update commit ccf1b239ba7b993041aba1cca55919e9d4edcaf4 Vlad Gheorghiu Tue Jun 16 2020 Update commit 11b2ab5b62593d17932587b9deb3f420a98aeef2 Vlad Gheorghiu Tue Jun 9 2020 Update commit a0a5fdf6c5c8daca2a78be7c87fb5ffb7edefefc Vlad Gheorghiu Tue Jun 9 2020 Update commit 51c967d5281924384b413e50cb290654e9fdd580 Vlad Gheorghiu Thu May 28 2020 moved maxn to internal commit f6b70325dff7c1f3db24a0f9701adfa98eed4bfa Vlad Gheorghiu Mon May 25 2020 Update commit 257b289732207b8e017c2f35dfe09fe5871226bc Vlad Gheorghiu Tue May 19 2020 prettyprint commit 27847835495c5ff79afe9a01dd3424141d324c1d Vlad Gheorghiu Tue May 19 2020 Update commit 33560f322161df1806558f686713710fbdab88a2 Vlad Gheorghiu Tue May 19 2020 commit 938a1e132a7acf710319b46397b41064637010de Vlad Gheorghiu Tue May 19 2020 > 0 commit db758b21529175d06d6f233d6e941682b784b1a4 Vlad Gheorghiu Tue May 19 2020 Update commit 12d3d90cdb740ce7c4e501147291ef401f5699e2 Vlad Gheorghiu Tue May 19 2020 Update commit 1a100b027eda3e67377a7d64e0954305a546c6a8 Vlad Gheorghiu Tue May 19 2020 Update commit 751f476c83ef326cbc7e2a40f07d4a3b899e2421 Vlad Gheorghiu Mon May 18 2020 static_cast(-1) commit 07eb3364cc68d2eb6fc652e612840fe72eabd009 Vlad Gheorghiu Mon May 18 2020 Update CHANGES",3.5,19,1,36,1542
