project,BugInducing,InducingDate,BugFixing,FixingDates,InducingMessage
m-labs/artiq,63d4907c653c8b76852ca32b8430a6b3f095879f,2015-09-04T23:21:55Z,b7de92e96c1ccf58db6943aa8298cd7a6414b839/,2016-02-02 18:41:57+01:00/,pxi6733: replace print by logger.debug
m-labs/artiq,bff8c8cb05d1181596c4afbe6836af01ba59d479,2019-01-21T09:44:17Z,ff4e4f15ed33ccbf33eda1ce20e577f8c4192667/1c35c051a5a06ce1e04629ce26867759b9f8c38d/b56c7cec1ed348c48fea06db0d7293fe56bc52d7/5a7460a38ef4a5e313801eafdc903843be272792/1cfd26dc2e5684734752111209aee2b6908202c3/,2019-02-12 18:33:27+08:00/2019-02-22 23:08:49+08:00/2019-02-05 11:24:45+08:00/2019-02-01 22:14:03+08:00/2019-02-08 17:51:51+08:00/,kasli: add Berkeley variant
BBN-Q/QGL,ac4a7c96f7ceab2b6095124d82a89e6d1ff2ffe4,2017-06-19T20:52:50Z,4f6b461560c6dc33cb84387d457ec9f06cffb79a/,2020-04-03 17:11:21-04:00/,Fix indices
m-labs/artiq,9fb42e49529e01974cab3248379aca383aa50231,2015-01-22T16:52:13Z,2bd27a31708bfe14a4a2dac9ae2c5501893e9e4b/efd1c24ed7266c1772abfe79935f69f4e0ce89f9/3fd6962bd2b34707679e313b8502a8bd557b7dc1/eaec519ac854d31c475666e091a501a7ad2a9557/e845de2ff27e0ea9a8c49ce7d5bd502f6303ec4e/6d4b9e5fcaa04fab5cc8eec7d4a9fc7bd0e760b6/1a1afd5410ad92d707a1ee7ef383ffa5a84e9c61/0e8f9ef07d9883e312a4dc7c6d8f5882d635fef6/7453d85d5eba166335a21f096cc39583f0e1a725/4558fb3e338171610deaad57e0a7ced97fbda21e/b396f5dd4390615a1d0471eea12909bebab7c112/e8aa825a9da8bcac35129d101b037b19effa7ec5/c00bce39675bc13210442ac34aa842c1b01f8779/00cae1c23a0c28784ae3ebafb59910ddc91e088b/471605ec1ed951f9033472a19c04287494978d49/,2015-09-05 15:50:34-06:00/2015-04-07 15:41:32+08:00/2019-11-10 15:55:17+08:00/2019-04-19 23:43:14+08:00/2017-05-22 19:17:23+08:00/2015-02-12 09:34:17+08:00/2015-04-04 20:42:37-06:00/2015-01-31 16:54:00+08:00/2016-04-04 22:12:45+08:00/2015-02-16 08:57:15-07:00/2015-02-12 00:38:20+08:00/2015-08-08 22:27:57+08:00/2015-10-14 01:06:57+08:00/2015-08-01 16:48:44+08:00/2017-07-19 17:35:28+02:00/,doc: use sphinx-argparse
m-labs/artiq,34421ee2f46badf470ae0edc1bba3f8369cbcaa9,2017-02-28T10:38:46Z,3c50c46a81958d0295e829bbea05499a35385603/,2017-02-28 13:22:39+01:00/,conda: use anaconda default pyqt (fixes #670)
m-labs/artiq,4deb5f6a4569e00274a389d062b84770fb5af208,2017-07-13T11:16:49Z,ebdbaaad3250778dd6570fc17db22e2851b3ce2b/0253db0421452c0eba332c424c80f4dd0d8a1200/,2017-12-22 17:51:42+08:00/2017-07-13 19:32:03+08:00/,gateware: use new MiSoC Wishbone address system
m-labs/artiq,0a687b7902c4fb0f27ce2c7fa63bc0b7bde9cf92,2017-04-01T04:18:00Z,1d081ed6c26b8866df7cddebfce888a91aa48662/53a979e74d8ed11a4d6078f467e7d204246e2ac4/f8dba7ae3593a2545b1332edfea44155b8637ff3/9045b4cc19da26f95e5d8c7db44a8c7c7e35279b/bc1d3fda6a1eadeebeebbf481deb7f1c1908247b/17b5388259397280547415c5386bfef488b7bbae/5e3aef45dc22212c240fcab86edcdace0ac0dfb4/db3118b916b1a0b61e4524e5e214bf96b7018f81/008678b74120469078eee1a884ab3572eca03a88/20d79c930c4f5b1fecbaaf08fae94170a9d17555/928d5dc9b30e9db1329db76cd2b8b60f79d36dcc/87e0384e97fa2f26497e8a70fd322d1de569abbf/e430d04d3ffbb7636018632b0a3a535e7ad4a994/5f20d79408fb6ee0fc81c712d4a1f44700f625b3/,2018-03-12 23:41:19+08:00/2018-09-20 10:58:38+08:00/2019-07-05 18:46:18+08:00/2017-07-18 00:40:21+08:00/2018-09-10 20:17:02+08:00/2017-04-05 16:38:56+00:00/2017-04-06 01:06:56+08:00/2017-04-03 00:18:07+08:00/2017-04-02 23:45:55+08:00/2017-09-24 12:23:47+08:00/2018-03-04 01:02:53+08:00/2018-09-05 17:56:56+08:00/2017-09-24 12:49:21+08:00/2018-09-05 14:00:09+08:00/,drtio: report satellite errors through firmware
BBN-Q/Qlab,921642261c05199bdc3f5e86b7016c97a94edff1,2012-10-11T21:15:33Z,f8de2a898c29e15e52713ec76c59ae07f43e821c/eddd8e0b64bd827b112f56db4832363e54fafde6/7f1d6352ae65c1bdcd5964e5310bf37bb5e67f0e/99c06c6f5fa661a66aa1f19afeab24110a44f964/4f37c0e5b09b58b72285d9990751a0d7177acf45/5fde9dd43341337f39adb5565b78417c215a8981/2daa42418923844a40f8548d8bce27df96540c2b/1dac11cd7bc60d563ee6c5c36c07d3a4a59d7599/,2012-10-22 13:54:15-04:00/2012-10-23 10:39:07-04:00/2012-11-30 14:59:44-05:00/2013-04-22 12:10:57-04:00/2012-11-21 16:57:02-05:00/2012-10-29 11:13:04-04:00/2014-01-10 11:08:34-05:00/2013-04-18 13:50:42-04:00/,"Matlab side of thing putting out IQ sequences

--CAR and BRJ"
lneuhaus/pyrpl,b8bbc43c8628039fd1242a2281649935b137b0a5,2017-07-05T09:18:10Z,2f6866f3abf277425454defacc31016c575d66e1/9d753f6d742d548c2898d52bb63ddb39b869037a/,2017-07-06 11:40:21+02:00/2017-08-24 12:59:26+02:00/,code coverage included
zlatko-minev/pyEPR,da607157ebd242028483930980696291c701c740,2020-02-14T01:52:11Z,41ea7c08d5f686baa897f94af32bae994c810029/0ae3d8d6af449b7bdc738c3208a2955967a0eb6a/,2020-05-20 16:50:36-04:00/2020-05-20 16:50:46-04:00/,docs
m-labs/artiq,9b43f09c1dcb0aa3556a83908f8339776e6434b5,2016-10-14T09:56:10Z,f3c7a7de3be9a89a14b2d5e5540affd0393d4591/db3e1aef77a91cfa875209593b50eb3a2503fc8d/,2017-06-06 17:37:13+08:00/2017-05-15 16:12:02+02:00/,phaser: cleanup prbs
m-labs/artiq,2776c5b16b555ce61a2ec1335020237910129b44,2019-08-15T07:07:13Z,efc43142a69a81deffbd135719cd5933fda6f1d6/db62cf2abe49fd70b06bffc72b57d320e76f0510/,2019-08-15 16:42:59+08:00/2020-10-08 18:38:01+08:00/,wrpll/thls: support mulshift
m-labs/artiq,06721c19c4afff1ead15d94666035925c4a44958,2017-05-22T16:50:58Z,94273e9455eb5bc13e098a16db233eccf9a6cea8/40d64fc782c2d4bf011afda7e81e7f0c0886293a/4b3aad256394ec642e034a123d0ec8ae16ea5491/0bee43aa5831f1b5de337fcde3ada3da9e5f9864/,2017-06-07 09:11:16+02:00/2019-10-16 17:54:39+08:00/2017-06-21 14:30:44+02:00/2018-11-08 20:16:30+08:00/,sawg: work around bool->int
qutech/qupulse,d407065defc38fdb0c501ee9b708fc6212b7a96f,2019-11-27T17:19:24Z,3a006eb405b4b3f5973963bbccf12b7e8bd95f29/e3f6700264e957e3075d99d463e2ac8a21b0e36a/254199e866a591ec079e1f7c63bbef65c6fe286f/,2020-02-14 16:37:16+01:00/2020-02-11 16:41:35+01:00/2020-01-15 13:03:27+01:00/,Update release notes and add test
m-labs/artiq,101ed5d534bfe697d5fbfaede98020e555775788,2019-01-09T03:40:15Z,f551491a847e48900bd13149346590d5ae6ca160/106d25b32a24bd41994f31c1e7ab9eb02e58ff37/,2019-05-10 12:13:07+08:00/2019-12-21 14:17:52+08:00/,"examples: Fix DRTIO destination indices (#1231)

Using the default routing table, links numbers and destinations
are offset by 1, as destination 0 is local RTIO."
m-labs/artiq,1a1edb13bf7fa25fa41f659a384c4708d3faa294,2017-05-02T16:05:41Z,566ff73dff6efc7bd1e8c8d141a619881d448122/471605ec1ed951f9033472a19c04287494978d49/,2017-06-10 14:59:03+02:00/2017-07-19 17:35:28+02:00/,pdq2 -> pdq
m-labs/artiq,48a42cdb3466338b931facd5a1f55d6ce75617fa,2016-07-09T15:20:43Z,5cfdaee46a89c08c7c438dcfcbdf48d81cc46067/,2016-07-09 18:43:36+02:00/,browser: move load-args button into area
BBN-Q/QGL,f355f0c79e7a35e5782257f1cc46d92fdb7e978d,2017-04-06T14:45:56Z,7b897286696996ad57c3c66a61215b20f1567666/,2017-04-06 10:52:48-04:00/,TravisCI: list files that Git LFS failed to download.
BBN-Q/PyQLab,0ff2785119a429e4f0597713dad25a529d7234b7,2014-04-16T15:27:21Z,4646a9738128d2bb2963b3e93f018a3a7024ea05/,2015-05-29 17:24:03-04:00/,show() should ignore non-waveform instructions.
m-labs/artiq,9f96b6bcda7d998ba9555d6cc912f55839d38bb9,2018-10-04T02:41:01Z,ab9ca0ee0a6b77c051a5afd93de2ee6507dea2bf/,2019-01-02 23:03:57+08:00/,kasli: use 125MHz DRTIO freq for testing
m-labs/artiq,c45a170bb4c8889e7ce542c5aec9a875e4895296,2016-12-26T17:18:18Z,2a81819eb0d38c992777473e34b8643a4aea6aec/db494967c5b871768b9dca7cd9d008383d9bcbfe/9347f6e00c24a6faf94edaa6d79d6fede54d50d8/7799413a4105ef050421df3e8e0e86f9656a7ac7/fb56c32d35e759297755673b23244a9002818205/3633671656cc9a5920947d43fbe5f3e7b4f363d1/,2017-02-25 17:54:14+00:00/2017-04-19 09:38:24+00:00/2018-05-15 14:14:27+00:00/2017-09-24 17:49:34+00:00/2017-02-01 06:24:08+01:00/2017-01-24 21:55:51+00:00/,firmware: update for Rust 1.16.0.
m-labs/artiq,77a7e592cb884e765e447249dde4db13bf6b0a0b,2015-01-13T10:40:59Z,ebdd92c7c44c4576829bfb997a50cd702a035242/8b02b58a772bd11495698c0868b495db9029b543/,2015-01-14 11:36:28+08:00/2015-07-12 14:50:46+02:00/,management/sync_struct/Notifier: use publish function instead of object
BBN-Q/QGL,00c8685eb3b3d880e86c11a7abfd09d46fdfcd26,2015-07-09T13:53:39Z,15d0732143cc2dce992b6ed7c45f17faffa09350/ef3aa8250bd6fa050a78f7f18389ad36d7323847/,2015-08-03 18:06:59-04:00/2016-07-12 13:18:33-04:00/,"Truncate waveform lengths to quantization interval when converting from time to
samples.

--BRJ and CAR"
m-labs/artiq,38dac16041ab5e0bfc13282fd0e6877814eb41a4,2018-06-05T23:23:40Z,d37503f21dc6c3df7bf193fb12fce870d0c91136/,2020-08-02 13:42:24+01:00/,"compiler: don't crash when quoting builtin functions.

Fixes #1051."
BBN-Q/Qlab,5d696e7315444de7b380cb5c2604674f3d56e4d5,2013-08-28T01:47:00Z,6164cd54f1c314214070cd948afc5af26a68c445/,2014-07-17 22:31:43-04:00/,Fix a logger todo with char vs string.
BBN-Q/QGL,140d0266788fdb96138c5f331dd22aa8a0e352aa,2013-04-17T17:25:49Z,64a9b1b7df8c9f1419c8b300aa4c7ca7bba24af6/,2015-01-05 17:00:34-05:00/,Handle _\d+ suffixes is sequence file names.
m-labs/artiq,59033d258881d5667fbff85e027501274e9ab647,2018-11-12T11:51:54Z,583bba8777d926647b82e729009f200036249272/,2018-11-12 15:36:36+00:00/,firmware: workaround for RPC failures
m-labs/artiq,a451b675c95d56b90e8c2238cdfa82792e0a54fa,2016-12-14T00:07:35Z,115ea678606809e246f1bd1956d061b7ed0ad942/,2016-12-14 19:15:50+01:00/,"Revert ""fir: different adder layout""

This reverts commit 6f50e77b409c293c1905f28e69d79403a0803866."
BBN-Q/PyQLab,c9573868822745c75e00bd5d6f2b2c72073965e5,2012-05-09T21:49:48Z,f9077d6f6c9ea15766c139323734ab8bc0554c64/9d535ac22c9b384837ca318aef47791da8e52646/97167e342217bf38b2c340d3fb56e9275aaaf0a6/ca3bcb1c28c46c368fb0dd1616ef9575b4619b04/740d489ac750c7ef602effd4dfdc2eb556dbef47/c240bd6aa0f438e72cdd833d9f233029510f0698/,2012-05-10 20:40:20-04:00/2012-12-07 18:02:14-05:00/2012-12-07 17:07:14-05:00/2012-12-12 22:35:57-05:00/2012-05-16 10:59:42-04:00/2012-06-07 21:12:27-04:00/,"Implemented a cached pulse decorator to save on the waveform library and presumably improve speed.
--CAR"
m-labs/artiq,53facfef133d841661cdb163e000e8ff23ecbe4c,2018-01-22T10:33:22Z,83428961ad3dd74c5aa58859da035630c2fc06cf/433273dd9571a5754247c332a58d5172c814b3b3/43e58c939c23ca04bdfca022ffb2db1b578ba187/62c7f75a9ec11891a43410c1a6e36cfcf801e60b/75b6cea52ff6f5ba6b2afe07184867a9f3da3d26/,2018-06-22 00:04:22+08:00/2018-06-19 14:33:48+08:00/2019-06-14 14:06:16+08:00/2019-02-25 23:49:45+08:00/2018-06-19 19:12:10+08:00/,sayma: build fixes
lneuhaus/pyrpl,699465f31626d381258525a6d6dbc82041ed0d79,2017-03-16T15:48:40Z,539032ffcf3f6b5905e09bfe83f5a1b5388dc5b7/7253e5c2c67a2e2f2c0af8f978e86a5aec7b1091/,2017-03-17 16:08:32+01:00/2017-03-20 01:50:12+01:00/,debugging new islocked
